/home/benjamin/Documents/test_rust/gzip_parser/test.pairs.gz.stats.tsv
         3717729 function calls (3631924 primitive calls) in 24.237 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       10    0.000    0.000    0.000    0.000 tempfile.py:153(__next__)
       81    0.000    0.000    0.000    0.000 __init__.py:25(decorator)
        1    0.000    0.000    0.000    0.000 group.py:29(Group)
       75    0.000    0.000    0.000    0.000 config.py:810(wrap)
        4    0.000    0.000    0.000    0.000 dependencies.py:284(handle_grouped_callback_args)
      250    0.000    0.000    0.000    0.000 ffi.py:170(__init__)
        2    0.000    0.000    0.001    0.000 synchronize.py:1(<module>)
        7    0.000    0.000    0.007    0.001 __init__.py:299(loads)
       91    0.000    0.000    0.000    0.000 manager.py:23(register)
        1    0.000    0.000    0.012    0.012 magic.py:1(<module>)
        1    0.000    0.000    0.001    0.001 calendar.py:1(<module>)
        2    0.000    0.000    0.001    0.001 parser.py:56(parsestr)
       15    0.000    0.000    0.000    0.000 text.py:372(dedent)
        3    0.000    0.000    0.000    0.000 encoding.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _nmf.py:1(<module>)
        1    0.000    0.000    0.000    0.000 event.py:50(EventStatus)
       11    0.000    0.000    0.000    0.000 version.py:503(_cmpkey)
        1    0.000    0.000    0.000    0.000 pool.py:471(_map_async)
      155    0.000    0.000    0.000    0.000 _metadata_requests.py:1242(__init__)
       47    0.000    0.000    0.000    0.000 ipaddress.py:156(_split_optional_netmask)
        1    0.000    0.000    0.017    0.017 memory.py:1(<module>)
       59    0.000    0.000    0.000    0.000 six.py:194(find_spec)
        1    0.000    0.000    0.044    0.044 _interpolate.py:1(<module>)
        2    0.000    0.000    0.001    0.000 category.py:1(<module>)
        1    0.000    0.000    0.000    0.000 generic.py:1329(DataFrameGroupBy)
      112    0.000    0.000    0.000    0.000 templates.py:1268(Template)
        4    0.000    0.000    0.000    0.000 threading.py:277(__init__)
      128    0.000    0.000    0.000    0.000 {method 'pop' of 'set' objects}
        1    0.000    0.000    0.004    0.004 codegen.py:1(<module>)
       63    0.000    0.000    0.000    0.000 QualityIO.py:391(solexa_quality_from_phred)
        1    0.000    0.000    0.000    0.000 numerictypes.py:441(_construct_lookups)
        1    0.000    0.000    0.000    0.000 figure.py:2366(Figure)
        1    0.000    0.000    0.002    0.002 statistics.py:1(<module>)
        1    0.000    0.000    0.001    0.001 ffi.py:1(<module>)
        1    0.000    0.000    0.009    0.009 image.py:1(<module>)
        1    0.000    0.000    0.019    0.019 callconv.py:1(<module>)
       80    0.000    0.000    0.000    0.000 config.py:206(_readenv)
        1    0.000    0.000    0.000    0.000 model.py:1(<module>)
       81    0.000    0.000    0.000    0.000 CodonTable.py:57(__init__)
        3    0.000    0.000    0.001    0.000 scanner.py:1(<module>)
        1    0.000    0.000    0.000    0.000 dash.py:195(Dash)
        2    0.000    0.000    0.078    0.039 io.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _support_alternative_backends.py:1(<module>)
        1    0.000    0.000    0.000    0.000 app.py:59(App)
       16    0.000    0.000    0.004    0.000 _functools.py:75(wrapper)
        1    0.000    0.000    0.000    0.000 {method 'dtypes' of 'builtins.PyDataFrame' objects}
        1    0.000    0.000    0.000    0.000 _search.py:436(BaseSearchCV)
        1    0.000    0.000    0.000    0.000 SeqRecord.py:118(SeqRecord)
        1    0.000    0.000    0.204    0.204 embed.py:1(<module>)
        1    0.000    0.000    0.049    0.049 collections.py:1(<module>)
        7    0.000    0.000    0.000    0.000 _parser.py:309(_convert)
       40    0.000    0.000    0.001    0.000 textwrap.py:341(_split_chunks)
        1    0.000    0.000    0.000    0.000 expatbuilder.py:1(<module>)
        1    0.000    0.000    0.033    0.033 cpu.py:1(<module>)
        1    0.000    0.000    0.001    0.001 <frozen ntpath>:1(<module>)
        1    0.000    0.000    0.000    0.000 compiler_machinery.py:1(<module>)
       17    0.000    0.000    0.000    0.000 core.py:1202(__init__)
        1    0.000    0.000    0.003    0.003 kernelbase.py:1(<module>)
        8    0.000    0.000    0.000    0.000 extending.py:140(register_jitable)
        1    0.000    0.000    0.004    0.004 legend.py:1(<module>)
        4    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
        1    0.000    0.000    0.001    0.001 dviread.py:1(<module>)
        6    0.000    0.000    0.006    0.001 decorators.py:202(wrapper)
        1    0.000    0.000    0.002    0.002 rolling.py:1(<module>)
      147    0.000    0.000    0.000    0.000 pathlib.py:569(_tail)
        2    0.000    0.000    0.000    0.000 _strptime.py:88(__calc_month)
        8    0.000    0.000    0.000    0.000 __init__.py:18(decorator)
        1    0.000    0.000    0.000    0.000 uuid.py:1(<module>)
        2    0.000    0.000    0.000    0.000 _adapters.py:63(_repair_headers)
        2    0.000    0.000    0.000    0.000 options.py:98(include_default_options)
       70    0.000    0.000    0.000    0.000 <frozen _collections_abc>:892(__iter__)
        7    0.000    0.000    0.001    0.000 warnings.py:131(filterwarnings)
     23/6    0.000    0.000    0.001    0.000 core.py:4550(streamline)
      202    0.000    0.000    0.000    0.000 process.py:99(_check_closed)
        1    0.000    0.000    0.000    0.000 pickle.py:1129(_Unpickler)
        1    0.000    0.000    0.000    0.000 accept.py:262(LanguageAccept)
        1    0.000    0.000    0.000    0.000 _orthogonal.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _zeros_py.py:1(<module>)
        7    0.000    0.000    0.001    0.000 html.py:33(__init__)
        6    0.000    0.000    0.000    0.000 uuid.py:139(__init__)
      105    0.000    0.000    0.000    0.000 _docstring.py:116(do_copy)
        1    0.000    0.000    0.000    0.000 lines.py:216(Line2D)
        1    0.000    0.000    0.000    0.000 getlimits.py:1(<module>)
        3    0.000    0.000    0.000    0.000 fnmatch.py:74(translate)
       81    0.000    0.000    0.000    0.000 __init__.py:14(set_module)
        2    0.000    0.000    0.004    0.002 structures.py:1(<module>)
       52    0.000    0.000    0.000    0.000 _docscrape.py:446(_str_extended_summary)
        1    0.000    0.000    0.001    0.001 core.py:2012(Parameter)
       15    0.000    0.000    0.000    0.000 traitlets.py:3202(__init__)
        1    0.000    0.000    0.007    0.007 dash.py:562(init_app)
       79    0.000    0.000    0.000    0.000 typing.py:1070(<genexpr>)
       12    0.000    0.000    0.000    0.000 __init__.py:264(get_aliased_and_aliases)
       29    0.000    0.000    0.000    0.000 cache.py:60(decorator)
        2    0.000    0.000    0.000    0.000 _kde.py:1(<module>)
      133    0.000    0.000    0.000    0.000 expr.py:196(<genexpr>)
        1    0.000    0.000    0.000    0.000 pythonapi.py:163(PythonAPI)
       16    0.000    0.000    0.000    0.000 core.py:1569(__or__)
       12    0.000    0.000    0.003    0.000 magic_arguments.py:140(__init__)
        1    0.000    0.000    0.005    0.005 typeshed.py:1(<module>)
        1    0.000    0.000    0.002    0.002 dataset.py:1(<module>)
        1    0.000    0.000    0.000    0.000 externals.py:124(_do_install)
        4    0.000    0.000    0.000    0.000 decorator.py:277(decorator)
        1    0.000    0.000    0.000    0.000 config.py:85(Config)
       27    0.000    0.000   21.822    0.808 connection.py:381(_send)
       13    0.000    0.000    0.000    0.000 core.py:2979(__init__)
       18    0.000    0.000    0.000    0.000 __init__.py:482(cycler)
        1    0.000    0.000    0.000    0.000 values.py:84(_ConstOpMixin)
        1    0.000    0.000    0.003    0.003 map.py:1(<module>)
        3    0.000    0.000    0.037    0.012 datetime.py:1(<module>)
        1    0.000    0.000    0.002    0.002 masked.py:1(<module>)
       28    0.000    0.000    0.000    0.000 ipaddress.py:1597(_make_netmask)
        1    0.000    0.000    0.002    0.002 cython.py:1(<module>)
        1    0.000    0.000    0.000    0.000 pivot.py:1(<module>)
       69    0.000    0.000    0.000    0.000 <frozen abc>:146(update_abstractmethods)
       28    0.000    0.000    0.000    0.000 {built-in method _struct.calcsize}
       20    0.000    0.000    0.000    0.000 builtins.py:141(choose_result_bitwidth)
        6    0.000    0.000    0.000    0.000 typing.py:2112(runtime_checkable)
        4    0.000    0.000    0.000    0.000 _callback.py:276(register_callback)
        1    0.000    0.000    0.000    0.000 executing.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _short_time_fft.py:78(ShortTimeFFT)
        1    0.000    0.000    0.003    0.003 sbcsgroupprober.py:1(<module>)
        1    0.000    0.000    0.000    0.000 targets.py:46(get_host_cpu_features)
        1    0.000    0.000    0.002    0.002 array_ops.py:1(<module>)
        2    0.000    0.000    0.001    0.001 jsonutil.py:1(<module>)
       10    0.000    0.000    0.001    0.000 filters.py:104(preceding_text)
       36    0.000    0.000    0.000    0.000 traitlets.py:1272(class_init)
       44    0.000    0.000    0.000    0.000 getlimits.py:91(_float_to_float)
        1    0.000    0.000    0.000    0.000 _fetchers.py:1(<module>)
        1    0.000    0.000    0.001    0.001 asserters.py:1(<module>)
       20    0.000    0.000    0.000    0.000 process.py:153(is_alive)
       13    0.000    0.000    0.000    0.000 _dtype_ctypes.py:100(dtype_from_ctypes_type)
        1    0.000    0.000    0.002    0.002 minimize_trustregion_constr.py:1(<module>)
        7    0.000    0.000    0.001    0.000 Div.py:106(__init__)
        4    0.000    0.000    0.000    0.000 deprecation.py:1(<module>)
       28    0.000    0.000    0.000    0.000 threading.py:124(RLock)
        7    0.000    0.000    0.001    0.000 __init__.py:678(children)
       48    0.000    0.000    0.000    0.000 lapack.py:864(backtickrepl)
        1    0.000    0.000    0.000    0.000 iceberg.py:1(<module>)
       12    0.000    0.000    0.000    0.000 __init__.py:728(search)
       12    0.000    0.000    0.000    0.000 _strptime.py:219(__seqToRE)
        1    0.000    0.000    0.001    0.001 _ltisys.py:1(<module>)
      248    0.000    0.000    0.000    0.000 argparse.py:688(<genexpr>)
        1    0.000    0.000    0.000    0.000 history.py:131(HistoryAccessor)
      3/1    0.000    0.000   21.822   21.822 threading.py:1016(_bootstrap)
        7    0.000    0.000    0.000    0.000 expatbuilder.py:914(parseString)
        2    0.000    0.000    0.000    0.000 core.py:2978(__array_finalize__)
     14/8    0.000    0.000    0.008    0.001 functools.py:979(__get__)
        1    0.000    0.000    0.000    0.000 formparser.py:1(<module>)
       40    0.000    0.000    0.000    0.000 argparse.py:1621(_pop_action_class)
       13    0.000    0.000    0.001    0.000 extending.py:398(intrinsic)
        1    0.000    0.000    0.001    0.001 functoolz.py:1(<module>)
        1    0.000    0.000    0.003    0.003 string_.py:1(<module>)
       63    0.000    0.000    0.000    0.000 {method 'groupdict' of 're.Match' objects}
       80    0.000    0.000    0.000    0.000 argparse.py:1421(_registry_get)
       28    0.000    0.000    0.000    0.000 <frozen posixpath>:416(abspath)
        9    0.000    0.000    0.033    0.004 _base.py:732(__init_subclass__)
        1    0.000    0.000    0.000    0.000 _spectral_embedding.py:1(<module>)
        1    0.000    0.000    0.170    0.170 figure.py:1(<module>)
      7/1    0.000    0.000    0.000    0.000 functools.py:687(_c3_mro)
        1    0.000    0.000    0.001    0.001 templates.py:1(<module>)
       49    0.000    0.000    0.000    0.000 {built-in method posix._path_normpath}
        1    0.000    0.000    0.010    0.010 urls.py:1(<module>)
        2    0.000    0.000    0.000    0.000 dataframe.py:177(_unpack_schema)
       46    0.000    0.000    0.000    0.000 castgraph.py:62(__iter__)
        1    0.000    0.000    0.005    0.005 pythonapi.py:1(<module>)
        2    0.000    0.000    0.000    0.000 range.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ewm.py:133(ExponentialMovingWindow)
        2    0.000    0.000   21.820   10.910 pool.py:500(_wait_for_updates)
       62    0.000    0.000    0.000    0.000 patches.py:2357(_register_style)
        1    0.000    0.000    0.001    0.001 managers.py:1(<module>)
        9    0.000    0.000    0.000    0.000 __init__.py:73(CFUNCTYPE)
      119    0.000    0.000    0.000    0.000 {method 'removeprefix' of 'str' objects}
        1    0.000    0.000    0.000    0.000 array.py:287(SparseArray)
        1    0.000    0.000    0.000    0.000 _locally_linear.py:1(<module>)
        1    0.000    0.000    0.000    0.000 webbrowser.py:285(Mozilla)
        2    0.000    0.000    0.002    0.001 dataclasses.py:1443(make_dataclass)
        1    0.000    0.000    0.039    0.039 axes3d.py:1(<module>)
        1    0.000    0.000    0.004    0.004 _classification_threshold.py:1(<module>)
        1    0.000    0.000    0.000    0.000 expressions.py:1(<module>)
        1    0.000    0.000    0.004    0.004 _secondary_axes.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _interpolate.py:263(__init__)
        1    0.000    0.000    0.001    0.001 shellapp.py:1(<module>)
       16    0.000    0.000    0.000    0.000 pathlib.py:711(joinpath)
       23    0.000    0.000    0.000    0.000 typing.py:1153(__call__)
        1    0.000    0.000    0.004    0.004 glm.py:1(<module>)
       93    0.000    0.000    0.000    0.000 __init__.py:811(__init__)
       64    0.000    0.000    0.000    0.000 common.py:37(wrapper)
        1    0.000    0.000    0.001    0.001 signal.py:1(<module>)
        1    0.000    0.000    0.004    0.004 artist.py:1(<module>)
        1    0.000    0.000    0.000    0.000 python.py:416(Python2Lexer)
       93    0.000    0.000    0.000    0.000 magic.py:113(record_magic)
        1    0.000    0.000    0.000    0.000 bytecode.py:1(<module>)
        2    0.000    0.000    0.001    0.001 tools.py:1(<module>)
        1    0.000    0.000    0.000    0.000 target_extension.py:1(<module>)
        1    0.000    0.000    0.000    0.000 processors.py:1(<module>)
        4    0.000    0.000    0.000    0.000 polynomial.py:1227(__init__)
        1    0.000    0.000    0.000    0.000 history.py:480(HistoryManager)
        1    0.000    0.000    0.005    0.005 _dispatcher.py:1(<module>)
        1    0.000    0.000    0.000    0.000 unicode.py:99(identbodychars)
       19    0.000    0.000    0.000    0.000 arrayprint.py:1595(_array_str_implementation)
       30    0.000    0.000    0.000    0.000 ipaddress.py:1282(__init__)
        1    0.000    0.000    0.000    0.000 general.py:1(<module>)
        2    0.000    0.000    0.001    0.000 path.py:1(<module>)
       17    0.000    0.000    0.001    0.000 dependencies.py:101(_lazy_import)
       86    0.000    0.000    0.000    0.000 _internal.py:883(<genexpr>)
        4    0.000    0.000    0.000    0.000 __init__.py:2021(basicConfig)
        1    0.000    0.000    0.001    0.001 array_manager.py:1(<module>)
        1    0.000    0.000    0.000    0.000 stride_tricks.py:1(<module>)
        1    0.000    0.000    0.001    0.001 ssl_.py:216(create_urllib3_context)
       40    0.000    0.000    0.000    0.000 argparse.py:1875(_add_action)
        1    0.000    0.000    0.002    0.002 _parse.py:1(<module>)
        1    0.000    0.000    0.003    0.003 resolver.py:1(<module>)
       40    0.000    0.000    0.000    0.000 getlimits.py:16(_fr0)
        1    0.000    0.000    0.000    0.000 mixins.py:59(NDArrayOperatorsMixin)
        1    0.000    0.000    0.000    0.000 arraysetops.py:1(<module>)
       13    0.000    0.000    0.000    0.000 decorators.py:344(decorator)
       14    0.000    0.000    0.001    0.000 dataclasses.py:882(_hash_add)
        1    0.000    0.000    0.000    0.000 imputils.py:60(lower_getattr_generic)
       28    0.000    0.000    0.000    0.000 rcsetup.py:487(_validate_linestyle)
        1    0.000    0.000    0.019    0.019 rules.py:15(_init_casting_rules)
        2    0.000    0.000    0.000    0.000 lazy.py:84(__new__)
       47    0.000    0.000    0.000    0.000 inspect.py:1458(repl)
        8    0.000    0.000    0.000    0.000 _nonlin.py:117(_set_doc)
       40    0.000    0.000    0.000    0.000 magic_arguments.py:212(__call__)
        1    0.000    0.000    0.000    0.000 datetimelike.py:87(DatetimeIndexOpsMixin)
        3    0.000    0.000    0.003    0.001 log.py:1(<module>)
       28    0.000    0.000    0.000    0.000 ffi.py:260(close)
       52    0.000    0.000    0.000    0.000 calendar.py:102(__getitem__)
       38    0.000    0.000    0.000    0.000 getlimits.py:709(max)
      100    0.000    0.000    0.000    0.000 _strptime.py:234(<genexpr>)
        1    0.000    0.000    0.000    0.000 records.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _metadata_requests.py:1(<module>)
        2    0.000    0.000    0.004    0.002 docscrape.py:1(<module>)
        1    0.000    0.000    0.000    0.000 representer.py:1(<module>)
        1    0.000    0.000    0.000    0.000 mbcssm.py:1(<module>)
        1    0.000    0.000    0.005    0.005 _param_validation.py:1(<module>)
        4    0.000    0.000    0.000    0.000 _callback.py:216(insert_callback)
        1    0.000    0.000    0.000    0.000 wildcard.py:22(create_typestr2type_dicts)
        8    0.000    0.000    0.000    0.000 weakref.py:568(__init__)
        1    0.000    0.000    0.022    0.022 Seq.py:1(<module>)
        1    0.000    0.000    0.000    0.000 connect.py:317(ConnectionFileMixin)
        1    0.000    0.000    0.000    0.000 python.py:827(CythonLexer)
        2    0.000    0.000    0.000    0.000 _strptime.py:80(__calc_weekday)
        1    0.000    0.000    0.000    0.000 __init__.py:351(_sanity_check)
        8    0.000    0.000    0.000    0.000 nanops.py:68(__init__)
        1    0.000    0.000    0.000    0.000 _pyio.py:1(<module>)
        2    0.000    0.000    0.000    0.000 types.py:66(new_class)
        6    0.000    0.000    0.000    0.000 {built-in method posix.urandom}
       54    0.000    0.000    0.000    0.000 pathlib.py:583(name)
        2    0.000    0.000    0.000    0.000 resources.py:1(<module>)
        1    0.000    0.000    0.000    0.000 byteflow.py:322(TraceRunner)
        1    0.000    0.000    0.001    0.001 isotonic.py:1(<module>)
        1    0.000    0.000    0.001    0.001 caching.py:1(<module>)
        1    0.000    0.000    0.003    0.003 _store_backends.py:1(<module>)
       41    0.000    0.000    0.000    0.000 _add_newdocs_scalars.py:83(<genexpr>)
       45    0.000    0.000    0.000    0.000 compiler_machinery.py:429(is_registered)
        1    0.000    0.000    0.002    0.002 InsdcIO.py:1(<module>)
       18    0.000    0.000    0.000    0.000 __init__.py:546(_cycler)
        1    0.000    0.000    0.000    0.000 serving.py:151(WSGIRequestHandler)
        5    0.000    0.000    0.000    0.000 decorator.py:127(update)
        8    0.000    0.000    0.000    0.000 resolver.py:25(add_implicit_resolver)
       57    0.000    0.000    0.000    0.000 _scorer.py:591(_get_response_method)
        1    0.000    0.000    0.000    0.000 platform.py:1(<module>)
        6    0.000    0.000    0.000    0.000 core.py:2392(handle_parse_result)
        1    0.000    0.000    0.001    0.001 s3.py:1(<module>)
        8    0.000    0.000    0.004    0.001 dash.py:634(_add_url)
        1    0.000    0.000    0.000    0.000 mlab.py:1(<module>)
        1    0.000    0.000    0.000    0.000 repeat.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _parser.py:1(<module>)
        9    0.000    0.000    0.000    0.000 common.py:508(pool_decorator)
        1    0.000    0.000    0.000    0.000 PyColorize.py:1(<module>)
        1    0.000    0.000    0.004    0.004 _linprog.py:1(<module>)
        1    0.000    0.000    0.003    0.003 _testutils.py:1(<module>)
        1    0.000    0.000    0.002    0.002 controls.py:1(<module>)
       26    0.000    0.000    0.000    0.000 core.py:921(__init__)
        1    0.000    0.000    0.000    0.000 base.py:167(BaseContext)
       94    0.000    0.000    0.000    0.000 functools.py:845(_is_valid_dispatch_type)
        1    0.000    0.000    0.001    0.001 _fontconfig_pattern.py:55(_make_fontconfig_parser)
        4    0.000    0.000    0.001    0.000 docscrape.py:164(__init__)
        1    0.000    0.000    0.006    0.006 overrides.py:1(<module>)
        1    0.000    0.000    0.002    0.002 _char_codes.py:1(<module>)
        1    0.000    0.000    0.017    0.017 _parallel_backends.py:1(<module>)
        1    0.000    0.000    0.000    0.000 grouper.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _endian.py:1(<module>)
        6    0.000    0.000    0.000    0.000 __init__.py:592(__init__)
       18    0.000    0.000    0.000    0.000 deprecation.py:157(_deprecated_property)
        3    0.000    0.000    0.006    0.002 patches.py:2283(__init_subclass__)
        1    0.000    0.000    0.002    0.002 hashlib.py:1(<module>)
        1    0.000    0.000    0.015    0.015 offsetbox.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _memmapping_reducer.py:1(<module>)
        1    0.000    0.000    0.000    0.000 core.py:480(FrameInfo)
        1    0.000    0.000    0.000    0.000 _t_sne.py:563(TSNE)
        1    0.000    0.000    0.001    0.001 _ode.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _mds.py:1(<module>)
       12    0.000    0.000    0.006    0.000 argparse.py:286(format_help)
       10    0.000    0.000    0.000    0.000 tempfile.py:142(rng)
       18    0.000    0.000    0.000    0.000 __init__.py:150(__init__)
        1    0.000    0.000    0.001    0.001 typeref.py:1(<module>)
        2    0.000    0.000    0.000    0.000 targetconfig.py:92(__init__)
       30    0.000    0.000    0.000    0.000 _type_aliases.py:203(_add_array_type)
       14    0.000    0.000    0.000    0.000 hashlib.py:126(__get_openssl_constructor)
        1    0.000    0.000    0.000    0.000 _registry.py:1(<module>)
        8    0.000    0.000    0.000    0.000 _ufunc_config.py:33(seterr)
        1    0.000    0.000    0.006    0.006 _pickle.py:1(<module>)
        1    0.000    0.000    0.000    0.000 streams.py:1(<module>)
      107    0.000    0.000    0.000    0.000 constant.py:397(<lambda>)
        1    0.000    0.000    0.000    0.000 style_transformation.py:1(<module>)
       13    0.000    0.000    0.000    0.000 expatbuilder.py:271(character_data_handler_cdata)
       16    0.000    0.000    0.000    0.000 _multivariate.py:210(__init__)
        7    0.000    0.000    0.000    0.000 core.py:458(__exit__)
      126    0.000    0.000    0.000    0.000 ssl.py:135(<lambda>)
       91    0.000    0.000    0.000    0.000 registry.py:9(wraps)
        1    0.000    0.000    0.000    0.000 exceptions.py:814(_find_exceptions)
        1    0.000    0.000    0.008    0.008 _sputils.py:1(<module>)
        1    0.000    0.000    0.020    0.020 art3d.py:1(<module>)
        1    0.000    0.000    0.000    0.000 mstats.py:1(<module>)
       82    0.000    0.000    0.000    0.000 core.py:2676(<lambda>)
        1    0.000    0.000    0.000    0.000 access.py:1(<module>)
       14    0.000    0.000    0.001    0.000 dataclasses.py:675(_hash_fn)
        1    0.000    0.000    0.000    0.000 selector_events.py:1(<module>)
        1    0.000    0.000    0.000    0.000 dates.py:1574(HourLocator)
        1    0.000    0.000    0.000    0.000 dataset.py:396(Dataset)
       10    0.000    0.000    0.001    0.000 rules.py:754(_convert)
        1    0.000    0.000    0.001    0.001 natsort.py:715(os_sort_keygen)
        1    0.000    0.000    0.000    0.000 transforms.py:211(BboxBase)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        1    0.000    0.000    0.000    0.000 artist.py:117(Artist)
        2    0.000    0.000    0.000    0.000 pool.py:289(_join_exited_workers)
        1    0.000    0.000    0.000    0.000 arraylike.py:31(OpsMixin)
        1    0.000    0.000    0.000    0.000 pickle_compat.py:1(<module>)
       29    0.000    0.000    0.000    0.000 core.py:5618(__init__)
       90    0.000    0.000    0.000    0.000 __init__.py:185(keys)
       19    0.000    0.000    0.000    0.000 magic.py:87(magics_class)
        1    0.000    0.000    0.000    0.000 datetimelike.py:1940(TimelikeOps)
       33    0.000    0.000    0.000    0.000 normalizer.py:78(register_rule)
        1    0.000    0.000    0.001    0.001 iterable.py:1(<module>)
        4    0.000    0.000    0.000    0.000 ast.py:56(literal_eval)
       14    0.000    0.000    0.000    0.000 ffi.py:255(__init__)
        1    0.000    0.000    0.000    0.000 proj3d.py:1(<module>)
        1    0.000    0.000    0.001    0.001 frame.py:2591(write_csv)
      105    0.000    0.000    0.000    0.000 _docstring.py:114(copy)
        1    0.000    0.000    0.000    0.000 local.py:1(<module>)
        1    0.000    0.000    0.000    0.000 buffer.py:155(Buffer)
        2    0.000    0.000    0.000    0.000 {built-in method posix.cpu_count}
       12    0.000    0.000    0.000    0.000 weakref.py:414(__getitem__)
      134    0.000    0.000    0.000    0.000 {method 'pop' of 'collections.deque' objects}
        1    0.000    0.000    0.000    0.000 _ingest.py:1(<module>)
        1    0.000    0.000    0.001    0.001 configparser.py:541(RawConfigParser)
        3    0.000    0.000    0.000    0.000 threading.py:973(start)
        1    0.000    0.000    0.010    0.010 insulation.py:1(<module>)
       19    0.000    0.000    0.000    0.000 path.py:202(_update_values)
        1    0.000    0.000    0.000    0.000 _slsqp_py.py:1(<module>)
        1    0.000    0.000    0.000    0.000 base.py:284(IndexOpsMixin)
        2    0.000    0.000    0.001    0.000 _label.py:1(<module>)
        1    0.000    0.000    0.001    0.001 backend_tools.py:1(<module>)
        1    0.000    0.000    0.001    0.001 osm.py:32(OSMagics)
        2    0.000    0.000    0.002    0.001 checks.py:1(<module>)
       23    0.000    0.000    0.000    0.000 core.py:5165(__init__)
       24    0.000    0.000    0.000    0.000 numerictypes.py:514(_scalar_type_key)
        1    0.000    0.000    0.000    0.000 ipapp.py:179(TerminalIPythonApp)
        1    0.000    0.000    0.000    0.000 instance.py:1(<module>)
        2    0.000    0.000    0.001    0.000 formatting.py:1(<module>)
       80    0.000    0.000    0.000    0.000 process.py:247(sentinel)
       40    0.000    0.000    0.000    0.000 process.py:189(name)
        7    0.000    0.000    0.000    0.000 traitlets.py:2731(__init__)
       24    0.000    0.000    0.000    0.000 docscrape.py:82(seek_next_non_empty_line)
        1    0.000    0.000    0.000    0.000 socket.py:77(Socket)
      180    0.000    0.000    0.000    0.000 rcsetup.py:70(func)
       14    0.000    0.000    0.000    0.000 __init__.py:892(_addHandlerRef)
      127    0.000    0.000    0.000    0.000 core.py:2396(__getnewargs__)
        1    0.000    0.000    0.000    0.000 datetimes.py:106(DatetimeIndex)
        2    0.000    0.000    0.002    0.001 list.py:1(<module>)
       19    0.000    0.000    0.000    0.000 __init__.py:19(_simple_escaping_wrapper)
       32    0.000    0.000    0.000    0.000 enum.py:1404(_iter_member_by_def_)
        1    0.000    0.000    0.000    0.000 runners.py:14(_State)
      126    0.000    0.000    0.000    0.000 ssl.py:125(<lambda>)
        1    0.000    0.000    0.000    0.000 doctools.py:216(tweak_parse_uri_docstring)
        2    0.000    0.000    0.000    0.000 process.py:71(BaseProcess)
        1    0.000    0.000    0.000    0.000 _fitpack_impl.py:1(<module>)
        8    0.000    0.000    0.000    0.000 colors.py:1672(make_norm_from_scale)
       10    0.000    0.000    0.001    0.000 extras.py:237(getdoc)
       20    0.000    0.000    0.000    0.000 {built-in method posix.kill}
       18    0.000    0.000    0.000    0.000 values.py:52(wrap)
       10    0.000    0.000    0.001    0.000 platform.py:1045(_sys_version)
        1    0.000    0.000    0.000    0.000 period.py:80(PeriodIndex)
        1    0.000    0.000    0.000    0.000 patches.py:3152(ArrowStyle)
        2    0.000    0.000    0.001    0.000 locks.py:1(<module>)
       14    0.000    0.000    0.000    0.000 __init__.py:145(_check_size)
       65    0.000    0.000    0.000    0.000 version.py:302(<genexpr>)
        1    0.000    0.000    0.011    0.011 polar.py:1(<module>)
       12    0.000    0.000    0.000    0.000 argparse.py:510(_format_text)
        1    0.000    0.000    0.000    0.000 constants.py:12(Errno)
        1    0.000    0.000    0.000    0.000 tests.py:1(<module>)
       16    0.000    0.000    0.000    0.000 _type_aliases.py:44(_bits_of)
        2    0.000    0.000    0.000    0.000 scaffold.py:75(__init__)
        1    0.000    0.000    0.001    0.001 chardistribution.py:1(<module>)
      145    0.000    0.000    0.000    0.000 {method 'isdigit' of 'str' objects}
        9    0.000    0.000    0.000    0.000 weakref.py:164(__setitem__)
        1    0.000    0.000    0.000    0.000 histograms.py:1(<module>)
        1    0.000    0.000    0.000    0.000 django.py:1(<module>)
        1    0.000    0.000    0.000    0.000 chebyshev.py:1(<module>)
        7    0.000    0.000    0.027    0.004 compiler_lock.py:31(__call__)
       25    0.000    0.000    0.000    0.000 enum.py:816(__iter__)
        1    0.000    0.000    0.003    0.003 matrix.py:1(<module>)
        1    0.000    0.000    0.000    0.000 array_exprs.py:1(<module>)
       12    0.000    0.000    0.000    0.000 ast.py:1799(__getattr__)
      194    0.000    0.000    0.000    0.000 status_codes.py:117(<genexpr>)
       85    0.000    0.000    0.000    0.000 core.py:1919(streamline)
        1    0.000    0.000    0.001    0.001 dataframe.py:530(_sequence_of_sequence_to_pydf)
        1    0.000    0.000    0.141    0.141 colorbar.py:1(<module>)
