/home/benjamin/Documents/test_rust/gzip_parser/test.pairs.gz.stats.tsv
         3717729 function calls (3631924 primitive calls) in 24.237 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2842    0.006    0.000    0.063    0.000 <frozen importlib._bootstrap_external>:1183(get_data)
    22533    0.006    0.000    0.006    0.000 {method 'rpartition' of 'str' objects}
     5684    0.006    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
      378    0.006    0.000    0.006    0.000 {built-in method posix.listdir}
     3230    0.006    0.000    0.119    0.000 <frozen importlib._bootstrap_external>:1491(_get_spec)
        1    0.006    0.006    0.006    0.006 {method 'load_verify_locations' of '_ssl._SSLContext' objects}
     9249    0.006    0.000    0.006    0.000 {method 'splitlines' of 'str' objects}
     5572    0.005    0.000    0.037    0.000 __init__.py:174(search)
     3226    0.005    0.000    0.013    0.000 enum.py:1562(__and__)
    32311    0.005    0.000    0.007    0.000 _parser.py:256(match)
     1910    0.005    0.000    0.035    0.000 textwrap.py:419(dedent)
     1544    0.005    0.000    0.028    0.000 typing.py:1242(__init__)
   2842/3    0.005    0.000    2.374    0.791 <frozen importlib._bootstrap_external>:989(exec_module)
        3    0.005    0.002    0.005    0.002 {built-in method _ctypes.dlopen}
21419/21398    0.005    0.000    0.008    0.000 abstract.py:121(__hash__)
    10812    0.005    0.000    0.009    0.000 {built-in method builtins.max}
     1613    0.005    0.000    0.257    0.000 _compiler.py:740(compile)
    21435    0.005    0.000    0.008    0.000 _parser.py:176(append)
 5814/153    0.005    0.000    0.011    0.000 copy.py:118(deepcopy)
     4144    0.005    0.000    0.010    0.000 artist.py:1555(aliased_name)
      107    0.005    0.000    0.023    0.000 traitlets.py:994(setup_class)
    25014    0.005    0.000    0.005    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
        1    0.004    0.004   21.827   21.827 {method 'acquire' of '_multiprocessing.SemLock' objects}
      114    0.004    0.000    0.151    0.001 artist.py:1598(pprint_setters)
     5593    0.004    0.000    0.006    0.000 <frozen importlib._bootstrap>:74(__new__)
3161/3156    0.004    0.000    0.112    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
 3379/442    0.004    0.000    1.992    0.005 <frozen importlib._bootstrap>:1390(_handle_fromlist)
    20202    0.004    0.000    0.004    0.000 enum.py:1129(__new__)
     8526    0.004    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
   7468/5    0.004    0.000    2.374    0.475 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
     3031    0.004    0.000    0.006    0.000 inspect.py:175(get_annotations)
     1663    0.004    0.000    0.008    0.000 enum.py:390(__setitem__)
    11220    0.004    0.000    0.007    0.000 typing.py:1134(_is_dunder)
       46    0.004    0.000    0.018    0.000 castgraph.py:92(propagate)
     5593    0.004    0.000    0.004    0.000 <frozen importlib._bootstrap>:79(__init__)
     2986    0.004    0.000    0.148    0.000 inspect.py:3050(from_callable)
     1513    0.004    0.000    0.004    0.000 {built-in method _abc._abc_init}
     2842    0.004    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:666(_classify_pyc)
     3185    0.004    0.000    0.006    0.000 inspect.py:747(unwrap)
    19322    0.004    0.000    0.004    0.000 {method 'pop' of 'list' objects}
    14478    0.004    0.000    0.004    0.000 {method 'endswith' of 'str' objects}
     1613    0.004    0.000    0.168    0.000 _parser.py:969(parse)
     2290    0.003    0.000    0.033    0.000 <frozen importlib._bootstrap>:463(_lock_unlock_module)
     3156    0.003    0.000    0.015    0.000 <frozen importlib._bootstrap_external>:1588(_get_spec)
    20363    0.003    0.000    0.003    0.000 {method 'isidentifier' of 'str' objects}
    12277    0.003    0.000    0.038    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
     9810    0.003    0.000    0.005    0.000 enum.py:1544(_get_value)
      108    0.003    0.000    0.009    0.000 traitlets.py:235(getmembers)
     9111    0.003    0.000    0.003    0.000 {method 'replace' of 'str' objects}
3700/3438    0.003    0.000    0.067    0.000 typing.py:392(inner)
     3152    0.003    0.000    0.028    0.000 <frozen importlib._bootstrap_external>:611(_get_cached)
      394    0.003    0.000    0.020    0.000 _util.py:377(getfullargspec_no_self)
    39041    0.003    0.000    0.003    0.000 {built-in method builtins.callable}
    13434    0.003    0.000    0.004    0.000 _parser.py:293(tell)
     1754    0.003    0.000    0.004    0.000 _parser.py:274(getuntil)
     5593    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap>:82(remove)
     3235    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap>:232(__init__)
    24897    0.003    0.000    0.003    0.000 {method 'strip' of 'str' objects}
     2842    0.003    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:699(_validate_timestamp_pyc)
     7794    0.003    0.000    0.005    0.000 <frozen importlib._bootstrap>:645(parent)
     1613    0.003    0.000    0.013    0.000 _compiler.py:511(_compile_info)
    21821    0.003    0.000    0.003    0.000 {built-in method _imp.acquire_lock}
    21821    0.003    0.000    0.003    0.000 {built-in method _imp.release_lock}
      103    0.003    0.000    0.227    0.002 artist.py:159(_update_set_signature_and_docstring)
    15133    0.003    0.000    0.004    0.000 _parser.py:164(__len__)
     3235    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap>:445(cb)
    12993    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap>:1226(__exit__)
     4823    0.003    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
    11368    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
       30    0.003    0.000    0.022    0.001 __init__.py:851(_rc_params_in_file)
     5173    0.003    0.000    0.007    0.000 {built-in method builtins.sorted}
     1640    0.003    0.000    0.020    0.000 _metadata_requests.py:1395(_build_request_for_signature)
    26546    0.003    0.000    0.003    0.000 {built-in method builtins.ord}
2845/2842    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:643(_check_name_wrapper)
    12993    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap>:1222(__enter__)
26672/24156    0.003    0.000    0.003    0.000 {built-in method builtins.hash}
     1198    0.002    0.000    0.006    0.000 _docscrape.py:68(read_to_condition)
       69    0.002    0.000    0.081    0.001 dataclasses.py:921(_process_class)
      136    0.002    0.000    0.019    0.000 enum.py:528(__new__)
     9474    0.002    0.000    0.004    0.000 {method 'add' of 'set' objects}
     3303    0.002    0.000    0.051    0.000 <frozen importlib._bootstrap>:416(__enter__)
     2700    0.002    0.000    0.002    0.000 {method 'format' of 'str' objects}
     1513    0.002    0.000    0.039    0.000 <frozen abc>:105(__new__)
      164    0.002    0.000    0.025    0.000 _metadata_requests.py:1433(_get_default_requests)
      261    0.002    0.000    0.028    0.000 compute.py:120(_decorate_compute_function)
    18458    0.002    0.000    0.002    0.000 {method '__contains__' of 'frozenset' objects}
     5593    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap>:173(__exit__)
      108    0.002    0.000    0.014    0.000 traitlets.py:972(setup_class)
      615    0.002    0.000    0.030    0.000 typing.py:687(Union)
     4433    0.002    0.000    0.017    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
    11243    0.002    0.000    0.002    0.000 {method '__exit__' of '_thread.RLock' objects}
     2228    0.002    0.000    0.004    0.000 _parser.py:86(opengroup)
     2846    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:48(_new_module)
4485/4315    0.002    0.000    0.002    0.000 {method 'update' of 'dict' objects}
     1933    0.002    0.000    0.003    0.000 _compiler.py:216(_compile_charset)
      349    0.002    0.000    0.004    0.000 ffi.py:190(__call__)
     2842    0.002    0.000    0.002    0.000 {built-in method _imp._fix_co_filename}
     1291    0.002    0.000    0.005    0.000 font_manager.py:934(_json_decode)
     1613    0.002    0.000    0.081    0.000 _compiler.py:573(_code)
     7388    0.002    0.000    0.002    0.000 {method 'pop' of 'dict' objects}
     2986    0.002    0.000    0.150    0.000 inspect.py:3308(signature)
      387    0.002    0.000    0.002    0.000 _compiler.py:386(_mk_bitmap)
     3230    0.002    0.000    0.121    0.000 <frozen importlib._bootstrap_external>:1520(find_spec)
     2842    0.002    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:1202(path_stats)
     5994    0.002    0.000    0.029    0.000 <frozen importlib._bootstrap>:632(cached)
  1108/16    0.002    0.000    2.169    0.136 {built-in method builtins.__import__}
      987    0.002    0.000    0.005    0.000 _docscrape.py:168(_is_at_section)
     2428    0.002    0.000    0.012    0.000 __init__.py:179(sub)
        7    0.002    0.000    0.007    0.001 decoder.py:343(raw_decode)
      743    0.002    0.000    0.005    0.000 typing_extensions.py:3029(_collect_parameters)
     4531    0.002    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:1469(_path_importer_cache)
    24945    0.002    0.000    0.002    0.000 inspect.py:2765(name)
    17184    0.002    0.000    0.002    0.000 {built-in method builtins.id}
        1    0.002    0.002    0.003    0.003 executionengine.py:1(<module>)
     2178    0.002    0.000    0.011    0.000 typing.py:723(<genexpr>)
     2247    0.002    0.000    0.003    0.000 {built-in method fromkeys}
      109    0.002    0.000    0.076    0.001 _distn_infrastructure.py:1841(__init__)
     7383    0.002    0.000    0.002    0.000 {method 'find' of 'bytearray' objects}
        2    0.002    0.001    0.004    0.002 mimetypes.py:218(readfp)
     3234    0.002    0.000    0.003    0.000 __init__.py:103(find_spec)
     2755    0.002    0.000    0.002    0.000 {method 'match' of 're.Pattern' objects}
    11225    0.002    0.000    0.002    0.000 {built-in method _thread.get_ident}
     8549    0.002    0.000    0.002    0.000 {built-in method from_bytes}
      923    0.002    0.000    0.004    0.000 typing.py:262(_collect_parameters)
     3230    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap>:1128(find_spec)
     2049    0.002    0.000    0.002    0.000 enum.py:850(__setattr__)
     1212    0.002    0.000    0.002    0.000 typing.py:1178(__getattr__)
     6990    0.002    0.000    0.002    0.000 inspect.py:371(isfunction)
    24756    0.002    0.000    0.002    0.000 abstract.py:96(key)
  306/153    0.002    0.000    0.011    0.000 copy.py:217(_deepcopy_dict)
     7534    0.001    0.000    0.001    0.000 {method 'group' of 're.Match' objects}
     5928    0.001    0.000    0.001    0.000 {method 'rfind' of 'str' objects}
     3303    0.001    0.000    0.011    0.000 <frozen importlib._bootstrap>:420(__exit__)
       20    0.001    0.000    0.003    0.000 enum.py:1708(convert_class)
     9846    0.001    0.000    0.001    0.000 {method 'get' of 'mappingproxy' objects}
 4958/989    0.001    0.000    0.008    0.000 <frozen abc>:121(__subclasscheck__)
     2911    0.001    0.000    0.005    0.000 castgraph.py:39(insert)
      164    0.001    0.000    0.027    0.000 _metadata_requests.py:1357(__init_subclass__)
     7692    0.001    0.000    0.002    0.000 _parser.py:83(groups)
    22154    0.001    0.000    0.001    0.000 inspect.py:2777(kind)
11445/11443    0.001    0.000    0.001    0.000 {built-in method posix.fspath}
     9458    0.001    0.000    0.001    0.000 _parser.py:113(__init__)
     1489    0.001    0.000    0.002    0.000 _parser.py:449(_uniq)
        4    0.001    0.000    0.002    0.001 _codata.py:1503(parse_constants_2002to2014)
     1548    0.001    0.000    0.009    0.000 typing.py:1147(__init__)
     3230    0.001    0.000    0.001    0.000 {built-in method _imp.find_frozen}
      615    0.001    0.000    0.004    0.000 typing.py:345(_remove_dups_flatten)
     3691    0.001    0.000    0.002    0.000 {method 'extend' of 'list' objects}
     1289    0.001    0.000    0.001    0.000 <string>:2(__init__)
       52    0.001    0.000    0.009    0.000 typing.py:2780(__new__)
     3463    0.001    0.000    0.007    0.000 typing.py:166(_type_convert)
     5599    0.001    0.000    0.001    0.000 {built-in method _weakref._remove_dead_weakref}
     5648    0.001    0.000    0.001    0.000 {method 'remove' of 'list' objects}
      587    0.001    0.000    0.004    0.000 inspect.py:2095(_signature_bound_method)
      261    0.001    0.000    0.012    0.000 compute.py:267(_make_signature)
     3999    0.001    0.000    0.007    0.000 {built-in method builtins.next}
       81    0.001    0.000    0.002    0.000 CodonTable.py:376(__init__)
     2393    0.001    0.000    0.001    0.000 functools.py:65(wraps)
      352    0.001    0.000    0.003    0.000 inspect.py:794(_finddoc)
     7954    0.001    0.000    0.002    0.000 _docscrape.py:65(eof)
       24    0.001    0.000    0.002    0.000 util.py:186(_collapse_string_to_ranges)
      715    0.001    0.000    0.001    0.000 CodonTable.py:286(<genexpr>)
     3527    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:185(_path_abspath)
      743    0.001    0.000    0.002    0.000 typing_extensions.py:2954(_has_generic_or_protocol_as_origin)
    51/14    0.001    0.000    0.008    0.001 typing.py:1267(__getitem__)
     3239    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:599(__init__)
     2679    0.001    0.000    0.002    0.000 cbook.py:405(_strip_comment)
      270    0.001    0.000    0.010    0.000 _decorators.py:363(decorator)
      253    0.001    0.000    0.068    0.000 dataclasses.py:449(_create_fn)
      315    0.001    0.000    0.006    0.000 <frozen abc>:110(register)
     1088    0.001    0.000    0.133    0.000 Restriction.py:252(__init__)
     3527    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
     1613    0.001    0.000    0.001    0.000 {built-in method _sre.compile}
      693    0.001    0.000    0.001    0.000 CodonTable.py:296(<genexpr>)
      371    0.001    0.000    0.003    0.000 <frozen zipimport>:64(__init__)
        1    0.001    0.001    0.002    0.002 unicode_numbers.py:1(<module>)
     1922    0.001    0.000    0.002    0.000 _docscrape.py:58(seek_next_non_empty_line)
