condition	biorep	techrep	fastq1	fastq2	genomeReference	aligner	assembly
E	E50_18	1	/home/benjamin/arc/home/groups/hoolock2/u0/share_yardimciLab/microc_data/test_data/E50_18_R1.sub.fastq.gz	/home/benjamin/arc/home/groups/hoolock2/u0/share_yardimciLab/microc_data/test_data/E50_18_R2.sub.fastq.gz	/home/benjamin/arc/home/groups/hoolock2/u0/share_yardimciLab/microc_data/references/rheMac10.fa	bwa-mem2	rheMac10
E	E60_16	1	/home/benjamin/arc/home/groups/hoolock2/u0/share_yardimciLab/microc_data/test_data/E60_16_R1.sub.fastq.gz	/home/benjamin/arc/home/groups/hoolock2/u0/share_yardimciLab/microc_data/test_data/E60_16_R2.sub.fastq.gz	/home/benjamin/arc/home/groups/hoolock2/u0/share_yardimciLab/microc_data/references/rheMac10.fa	bwa-mem2	rheMac10
E	E80_19	1	/home/benjamin/arc/home/groups/hoolock2/u0/share_yardimciLab/microc_data/test_data/E80_19_R1.sub.fastq.gz	/home/benjamin/arc/home/groups/hoolock2/u0/share_yardimciLab/microc_data/test_data/E80_19_R2.sub.fastq.gz	/home/benjamin/arc/home/groups/hoolock2/u0/share_yardimciLab/microc_data/references/rheMac10.fa	bwa-mem2	rheMac10
GW	GW14_108	1	/home/benjamin/arc/home/groups/hoolock2/u0/share_yardimciLab/microc_data/test_data/GW14_108_R1.sub.fastq.gz	/home/benjamin/arc/home/groups/hoolock2/u0/share_yardimciLab/microc_data/test_data/GW14_108_R2.sub.fastq.gz	/home/benjamin/arc/home/groups/hoolock2/u0/share_yardimciLab/microc_data/references/hs1.fa	bwa-mem2	hs1
GW	GW16_89	1	/home/benjamin/arc/home/groups/hoolock2/u0/share_yardimciLab/microc_data/test_data/GW16_89_R1.sub.fastq.gz	/home/benjamin/arc/home/groups/hoolock2/u0/share_yardimciLab/microc_data/test_data/GW16_89_R2.sub.fastq.gz	/home/benjamin/arc/home/groups/hoolock2/u0/share_yardimciLab/microc_data/references/hs1.fa	bwa-mem2	hs1
GW	GW22_86	1	/home/benjamin/arc/home/groups/hoolock2/u0/share_yardimciLab/microc_data/test_data/GW22_86_R1.sub.fastq.gz	/home/benjamin/arc/home/groups/hoolock2/u0/share_yardimciLab/microc_data/test_data/GW22_86_R2.sub.fastq.gz	/home/benjamin/arc/home/groups/hoolock2/u0/share_yardimciLab/microc_data/references/hs1.fa	bwa-mem2	hs1
